啊啊啊|a1 a1 a1
阿坝|a1 ba4
阿爸|a1 ba4
阿巴丹|a1 ba1 dan1
阿巴嘎|a1 ba1 ga1
阿巴嘎旗|a1 ba1 ga1 qi2
阿巴卡韦|a1 ba1 ka3 wei2
阿坝县|a1 ba4 xian4
阿坝镇|a1 ba4 zhen4
阿坝州|a1 ba4 zhou1
阿百川|a1 bai3 chuan1
阿班|a1 ban1
阿贝奇诺|a1 bei4 qi2 nuo4
阿贝他|a1 bei4 ta1
阿北乡|a1 bei3 xiang1
阿苯|a1 ben3
阿苯达唑|a1 ben3 da2 zuo4
阿苯片|a1 ben3 pian4
阿苯糖丸|a1 ben3 tang2 wan2
阿鼻地狱|a1 bi2 di4 yu4
阿比多尔|a1 bi3 duo1 er3
阿比盖恩|a1 bi3 gai4 en1
阿比盖尔|a1 bi3 gai4 er3
阿鼻剑|a1 bi2 jian4
阿丙条|a1 bing3 tiao2
阿伯|a1 bo2
阿波菲斯|a1 bo1 fei1 si1
阿博拉兹|a1 bo2 la1 zi1
阿波罗|a1 bo1 luo2
阿博纳斯|a1 bo2 na4 si1
阿布|a1 bu4
阿布扎比|a1 bu4 zha1 bi3
阿察乡|a1 cha2 xiang1
阿昌族|a1 chang1 zu2
阿城|a1 cheng2
阿城区|a1 cheng2 qu1
阿城市|a1 cheng2 shi4
阿城县|a1 cheng2 xian4
阿城镇|a1 cheng2 zhen4
阿达曼特|a1 da2 man4 te4
阿达帕林|a1 da2 pa4 lin2
阿代古斯|a1 dai4 gu3 si1
阿党镇|a1 dang3 zhen4
阿道|a1 dao4
阿得博乡|a1 de2 bo2 xiang1
阿德温|a1 de2 wen1
阿地芬宁|a1 di4 fen1 ning2
阿地砜钠|a1 di4 feng1 na4
阿地肝素|a1 di4 gan1 su4
阿爹|a1 die1
吖啶橙|a1 ding4 cheng2
吖啶黄|a1 ding4 huang2
阿斗|a1 dou4
阿窦|a1 dou4
阿都乡|a1 dou1 xiang1
阿杜斯|a1 du4 si1
阿端|a1 duan1
阿多恩|a1 duo1 en1
阿多停|a1 duo1 ting2
阿多乡|a1 duo1 xiang1
阿尔达乡|a1 er3 da2 xiang1
阿尔多|a1 er3 duo1
阿尔及尔|a1 er3 ji2 er3
阿尔科隆|a1 er3 ke1 long2
阿尔拉镇|a1 er3 la1 zhen4
阿尔马尔|a1 er3 ma3 er3
阿尔萨斯|a1 er3 sa4 si1
阿尔山|a1 er3 shan1
阿尔山市|a1 er3 shan1 shi4
阿尔泰山|a1 er3 tai4 shan1
阿尔泰娅|a1 er3 tai4 ya4
阿尔乡|a1 er3 xiang1
阿尔乡镇|a1 er3 xiang1 zhen4
阿尔治|a1 er3 zhi4
阿法迪三|a1 fa3 di2 san1
阿法多龙|a1 fa3 duo1 long2
阿法根|a1 fa3 gen1
