一|yi1
乙|yi3
二|er4
十|shi2
丁|ding1
厂|chang3
七|qi1
卜|bu3
人|ren2
入|ru4
八|ba1
九|jiu3
几|ji3
儿|er2
了|le5
力|li4
乃|nai3
刀|dao1
又|you4
三|san1
于|yu2
干|gan1
亏|kui1
士|shi4
工|gong1
土|tu3
才|cai2
寸|cun4
下|xia4
大|da4
丈|zhang4
与|yu3
万|wan4
上|shang4
小|xiao3
口|kou3
巾|jin1
山|shan1
千|qian1
乞|qi3
川|chuan1
亿|yi4
个|ge4
勺|shao2
久|jiu3
凡|fan2
及|ji2
夕|xi1
丸|wan2
么|me5
广|guang3
亡|wang2
门|men2
义|yi4
之|zhi1
尸|shi1
弓|gong1
己|ji3
已|yi3
子|zi3
卫|wei4
也|ye3
女|nv3
飞|fei1
刃|ren4
习|xi2
叉|cha1
马|ma3
乡|xiang1
丰|feng1
王|wang2
井|jing3
开|kai1
夫|fu1
天|tian1
无|wu2
元|yuan2
专|zhuan1
云|yun2
扎|zha1
艺|yi4
木|mu4
五|wu3
支|zhi1
厅|ting1
不|bu4
太|tai4
犬|quan3
区|qu1
历|li4
尤|you2
友|you3
匹|pi3
车|che1
巨|ju4
牙|ya2
屯|tun2
比|bi3
互|hu4
切|qie1
瓦|wa3
止|zhi3
少|shao3
日|ri4
中|zhong1
冈|gang1
贝|bei4
内|nei4
水|shui3
见|jian4
午|wu3
牛|niu2
手|shou3
毛|mao2
气|qi4
升|sheng1
长|chang2
仁|ren2
什|shi2
片|pian4
仆|pu3
化|hua4
仇|chou2
币|bi4
仍|reng2
仅|jin3
斤|jin1
爪|zhua3
反|fan3
介|jie4
父|fu4
从|cong2
今|jin1
凶|xiong1
分|fen1
乏|fa2
公|gong1
仓|cang1
月|yue4
氏|shi4
勿|wu4
欠|qian4
风|feng1
丹|dan1
匀|yun2
乌|wu1
凤|feng4
勾|gou1
文|wen2
六|liu4
方|fang1
火|huo3
为|wei4
斗|dou3
忆|yi4
订|ding4
计|ji4
户|hu4
认|ren4
心|xin1
尺|chi3
引|yin3
丑|chou3
巴|ba1
孔|kong3
队|dui4
办|ban4
以|yi3
允|yun3
予|yu2
劝|quan4
双|shuang1
书|shu1
幻|huan4
玉|yu4
刊|kan1
示|shi4
末|mo4
未|wei4
击|ji1
打|da3
巧|qiao3
正|zheng4
扑|pu1
扒|ba1
功|gong1
扔|reng1
去|qu4
甘|gan1
世|shi4
古|gu3
节|jie2
本|ben3
术|shu4
可|ke3
丙|bing3
左|zuo3
厉|li4
右|you4
石|shi2
布|bu4
龙|long2
平|ping2
灭|mie4
轧|ya4
东|dong1
卡|ka3
北|bei3
占|zhan4
业|ye4
旧|jiu4
帅|shuai4
归|gui1
且|qie3
旦|dan4
目|mu4
叶|ye4
甲|jia3
申|shen1
叮|ding1
电|dian4
号|hao4
田|tian2
由|you2
史|shi3
只|zhi1
央|yang1
兄|xiong1
叼|diao1
叫|jiao4
另|ling4
叨|dao1
叹|tan4
四|si4
生|sheng1
失|shi1
禾|he2
丘|qiu1
付|fu4
仗|zhang4
代|dai4
仙|xian1
们|men2
仪|yi2
白|bai2
仔|zi3
他|ta1
斥|chi4
瓜|gua1
乎|hu1
丛|cong2
令|ling4
用|yong4
甩|shuai3
印|yin4
乐|le4
句|ju4
匆|cong1
册|ce4
犯|fan4
外|wai4
处|chu4
冬|dong1
鸟|niao3
务|wu4
包|bao1
饥|ji1
主|zhu3
市|shi4
立|li4
闪|shan3
兰|lan2
半|ban4
汁|zhi1
汇|hui4
头|tou2
汉|han4
宁|ning2
穴|xue2
它|ta1
讨|tao3
写|xie3
让|rang4
礼|li3
训|xun4
必|bi4
议|yi4
讯|xun4
记|ji4
永|yong3
司|si1
尼|ni2
民|min2
出|chu1
辽|liao2
奶|nai3
奴|nu2
加|jia1
召|zhao4
皮|pi2
边|bian1
发|fa1
孕|yun4
圣|sheng4
对|dui4
台|tai2
矛|mao2
纠|jiu1
母|mu3
幼|you4
丝|si1
式|shi4
刑|xing2
动|dong4
扛|kang2
寺|si4
吉|ji2
扣|kou4
考|kao3
托|tuo1
老|lao3
执|zhi2
巩|gong3
圾|ji5
扩|kuo4
扫|sao3
地|di4
扬|yang2
场|chang3
耳|er3
共|gong4
芒|mang2
亚|ya4
芝|zhi1
朽|xiu3
朴|pu3
机|ji1
权|quan2
过|guo4
臣|chen2
再|zai4
协|xie2
西|xi1
压|ya1
厌|yan4
在|zai4
有|you3
百|bai3
存|cun2
而|er2
页|ye4
匠|jiang4
夸|kua1
夺|duo2
灰|hui1
达|da2
列|lie4
死|si3
成|cheng2
夹|jia1
轨|gui3
邪|xie2
划|hua2
迈|mai4
毕|bi4
至|zhi4
此|ci3
贞|zhen1
师|shi1
尘|chen2
尖|jian1
劣|lie4
光|guang1
当|dang1
早|zao3
吐|tu4
吓|xia4
虫|chong2
曲|qu3
团|tuan2
同|tong2
吊|diao4
吃|chi1
因|yin1
吸|xi1
吗|ma5
屿|yu3
帆|fan1
岁|sui4
回|hui2
岂|qi3
刚|gang1
则|ze2
肉|rou4
网|wang3
年|nian2
朱|zhu1
先|xian1
丢|diu1
舌|she2
竹|zhu2
迁|qian1
乔|qiao2
伟|wei3
传|chuan2
乒|ping1
乓|pang1
休|xiu1
伍|wu3
伏|fu2
优|you1
伐|fa2
延|yan2
件|jian4
任|ren4
伤|shang1
价|jia4
份|fen4
华|hua2
仰|yang3
仿|fang3
伙|huo3
伪|wei3
自|zi4
血|xue4
向|xiang4
似|si4
后|hou4
行|xing2
舟|zhou1
全|quan2
会|hui4
杀|sha1
合|he2
兆|zhao4
企|qi3
众|zhong4
爷|ye2
伞|san3
创|chuang4
肌|ji1
朵|duo3
杂|za2
危|wei1
旬|xun2
旨|zhi3
负|fu4
各|ge4
名|ming2
多|duo1
争|zheng1
色|se4
壮|zhuang4
冲|chong1
冰|bing1
庄|zhuang1
庆|qing4
亦|yi4
刘|liu2
齐|qi2
交|jiao1
次|ci4
衣|yi1
产|chan3
决|jue2
充|chong1
妄|wang4
闭|bi4
问|wen4
闯|chuang3
羊|yang2
并|bing4
关|guan1
米|mi3
灯|deng1
州|zhou1
汗|han4
污|wu1
江|jiang1
池|chi2
汤|tang1
忙|mang2
兴|xing1
宇|yu3
守|shou3
宅|zhai2
字|zi4
安|an1
讲|jiang3
军|jun1
许|xu3
论|lun4
农|nong2
讽|feng3
设|she4
访|fang3
寻|xun2
那|na4
迅|xun4
尽|jin4
导|dao3
异|yi4
孙|sun1
阵|zhen4
阳|yang2
收|shou1
阶|jie1
阴|yin1
防|fang2
奸|jian1
如|ru2
妇|fu4
好|hao3
她|ta1
妈|ma1
戏|xi4
羽|yu3
观|guan1
欢|huan1
买|mai3
红|hong2
纤|xian1
级|ji2
约|yue1
纪|ji4
驰|chi2
巡|xun2
寿|shou4
弄|nong4
麦|mai4
形|xing2
进|jin4
戒|jie4
吞|tun1
远|yuan3
违|wei2
运|yun4
扶|fu2
抚|fu3
坛|tan2
技|ji4
坏|huai4
扰|rao3
拒|ju4
找|zhao3
批|pi1
扯|che3
址|zhi3
走|zou3
抄|chao1
坝|ba4
贡|gong4
攻|gong1
赤|chi4
折|zhe1
抓|zhua1
扮|ban4
抢|qiang3
孝|xiao4
均|jun1
抛|pao1
投|tou2
坟|fen2
抗|kang4
坑|keng1
坊|fang3
抖|dou3
护|hu4
壳|ke2
志|zhi4
扭|niu3
块|kuai4
声|sheng1
把|ba3
报|bao4
却|que4
劫|jie2
芽|ya2
花|hua1
芹|qin2
芬|fen1
苍|cang1
芳|fang1
严|yan2
芦|lu2
劳|lao2
克|ke4
苏|su1
杆|gan3
杠|gang4
杜|du4
材|cai2
村|cun1
杏|xing4
极|ji2
李|li3
杨|yang2
求|qiu2
更|geng4
束|shu4
豆|dou4
两|liang3
丽|li4
医|yi1
辰|chen2
励|li4
否|fou3
还|hai2
歼|jian1
来|lai2
连|lian2
步|bu4
坚|jian1
旱|han4
盯|ding1
呈|cheng2
